원료명,Moisture,조단백질,조지방,칼슘,인,조섬유,조회분
버터시즈닝,0.1,0,0,0,0,0,0
세이지,0.1,0,0,0,0,0,0
에틸말톨,0.1,0,0,0,0,0,0
젤라틴,0.1,0.75,0,0,0,0,0.02
차-카테킨,0.1,0,0,0,0,0,0
카테킨,0.1,0,0,0,0,0,0
카모마일,0.1,0,0,0,0,0,0
크렌베리,0.1,0,0,0,0,0,0
클로렐라,0.1,0,0,0,0,0,0
프로피온산,0.1,0,0,0,0,0,0
헥사메타인산염,0.1,0,0,0,0.3,0,0
SHMP,0.1,0,0,0,0.3,0,0
Sodium HexaMetaPhosphate,0.1,0,0,0,0.3,0,0
헥사메타인산나트륨,0.1,0,0,0,0.3,0,0
크랜베리파우더,0.1,0,0,0,0,0,0
크랜베리,0.1,0,0,0,0,0,0
오리고기,0.75,0.2,0.05,0,0,0,0
시금치,0.1,0,0,0,0,0,0
솔비톨-80%,0.2,0,0,0,0,0,0
글루코사민,0.1,0,0,0,0,0,0
콘드로이친,0.1,0,0,0,0,0,0
오메가 지방산 (L),0.01,0,0.99,0,0,0,0
레시틴 (Liquid),0.8,0,0,0,0,0,0
L-카르니틴,0.1,0,0,0,0,0,0
L카르니틴 푸마르산염,0.1,0,0,0,0,0,0
사나셀,0.1,0,0,0,0,0.65,0.03
씨트리스팀(베타글루칸),0.1,0,0,0,0,0,0
프로폴리스,0.1,0,0,0,0,0,0
하이스위트,0.1,0,0,0,0,0,0
복합인산염,0.1,0,0,0,0.3,0,0
TSPP,,,,,,,
피로인산나트륨,,,,,,,
피로인산염,,,,,,,
Sodium PyroPhosphate,,,,,,,
STPP,,,,,,,
삼인산나트륨,,,,,,,
트리폴리인산나트륨,,,,,,,
트리폴리인산염,,,,,,,
Sodium TriPolyPhosphate,,,,,,,
CORN(USA),0.13,0.068,0.032,0.0001,0.0028,0.02,0.015
Oat flour,0.13,0.12,0.034,0.0001,0.004,0.04,0.015
DDGS(US),0.13,0.26,0.1089,0.0031,0.0095,0.08,0.04
ground rice(밀테크),0.12,0.02,0.003,0.001,0.0005,0.005,0.03
BEAN-PEA,0.12,0.22,0.025,0.0025,0.005,0.04,0.03
GLUTEN FEED,0.12,0.19,0.05,0.0059,0.0055,0.1,0.05
RICE POLISHING,0.125,0.1338,0.17,0.0015,0.0193,0.0884,0.085
SOY ML LOC 44%(밀테크),0.125,0.45,0.015,0.003,0.0065,0.05,0.06
CHEESE SOY TIDE,0.1,0.525,0.185,0.0063,0.0078,0.0195,0.06
CORN GLUTEN 60%(밀테크),0.1,0.605,0.0081,0.0015,0.0053,0.003,0.06
